45|19
55|17
55|38
58|41
58|46
58|72
34|56
34|63
34|83
34|33
28|12
28|56
28|61
28|41
28|38
19|85
19|22
19|97
19|28
19|46
19|62
97|18
97|81
97|34
97|96
97|58
97|55
97|79
47|76
47|95
47|81
47|41
47|83
47|79
47|96
47|63
46|93
46|34
46|18
46|84
46|83
46|45
46|64
46|29
46|26
13|41
13|96
13|47
13|84
13|86
13|46
13|76
13|85
13|52
13|79
95|56
95|48
95|28
95|22
95|77
95|44
95|13
95|11
95|62
95|26
95|86
64|41
64|34
64|45
64|17
64|16
64|32
64|18
64|89
64|26
64|93
64|84
64|51
38|47
38|58
38|12
38|81
38|85
38|49
38|96
38|76
38|61
38|64
38|48
38|13
38|72
62|58
62|55
62|48
62|52
62|76
62|72
62|46
62|89
62|12
62|31
62|97
62|29
62|86
62|81
31|63
31|54
31|17
31|28
31|33
31|83
31|11
31|42
31|34
31|38
31|32
31|27
31|44
31|95
31|49
83|13
83|56
83|51
83|61
83|32
83|11
83|27
83|33
83|26
83|54
83|77
83|97
83|28
83|19
83|62
83|48
85|51
85|41
85|11
85|32
85|16
85|52
85|84
85|93
85|45
85|34
85|95
85|77
85|17
85|83
85|44
85|55
85|31
26|97
26|12
26|56
26|54
26|22
26|33
26|49
26|86
26|76
26|28
26|47
26|62
26|27
26|81
26|79
26|58
26|19
26|48
32|26
32|61
32|48
32|81
32|42
32|17
32|28
32|44
32|62
32|13
32|27
32|79
32|56
32|54
32|19
32|97
32|49
32|11
32|47
76|18
76|93
76|46
76|63
76|45
76|84
76|72
76|29
76|34
76|96
76|64
76|95
76|17
76|51
76|41
76|83
76|85
76|55
76|16
76|31
61|79
61|52
61|97
61|31
61|47
61|22
61|64
61|86
61|29
61|72
61|96
61|55
61|48
61|85
61|46
61|81
61|41
61|45
61|76
61|13
61|58
52|11
52|28
52|95
52|18
52|55
52|31
52|16
52|32
52|29
52|93
52|38
52|83
52|19
52|26
52|34
52|17
52|51
52|27
52|84
52|44
52|63
52|77
11|97
11|28
