43,65
5,25
51,69
52,67
30,59
17,41
16,15
50,63
25,14
43,59
10,11
42,61
24,19
5,7
49,49
41,60
17,3
18,17
23,9
69,55
3,5
21,6
9,15
9,32
63,51
33,69
25,23
61,39
29,41
27,20
53,52
45,61
27,69
61,59
15,27
2,15
16,35
65,54
43,57
66,51
59,53
23,21
30,5
11,7
36,67
1,27
57,59
48,49
21,10
2,45
59,55
17,37
1,24
29,30
7,10
27,31
67,52
3,10
31,53
7,25
21,33
66,67
66,69
67,49
18,3
59,57
1,11
5,45
5,32
3,51
53,56
3,46
37,67
61,51
23,27
5,1
55,45
65,65
5,37
67,60
17,7
31,16
6,15
63,53
12,19
31,55
49,60
1,34
52,51
1,50
45,69
41,63
65,62
22,25
63,39
19,39
50,57
25,6
32,57
3,45
60,63
3,39
1,35
27,63
31,29
65,55
13,9
63,41
19,18
37,61
11,17
37,69
28,63
3,19
69,47
29,66
49,56
21,31
3,13
31,68
5,46
3,25
6,13
12,13
51,61
62,43
15,21
43,7
7,49
13,7
61,66
29,2
49,47
43,61
25,1
61,53
5,27
1,43
28,25
66,57
25,26
21,39
44,65
0,13
69,61
31,65
32,3
4,39
29,63
66,55
27,67
23,18
21,4
5,14
1,18
16,1
58,65
13,0
58,61
15,31
7,50
30,9
2,43
3,48
12,7
32,55
5,39
17,39
11,11
11,36
1,21
7,11
53,59
49,63
21,26
25,31
59,67
62,61
7,47
30,23
25,11
40,67
49,59
67,64
60,57
5,30
17,27
47,49
63,58
7,13
11,24
46,41
17,24
1,1
24,9
5,34
27,11
10,17
52,55
13,5
4,17
65,57
31,60
5,8
15,8
57,69
2,37
3,29
7,48
47,62
21,17
51,60
43,55
3,3
3,12
39,57
50,47
9,29
1,13
12,27
13,2
22,3
31,67
29,12
27,29
65,60
62,55
27,23
25,9
13,17
29,14
55,65
26,27
36,59
9,28
54,63
57,65
51,67
61,46
11,13
63,59
9,30
69,53
15,23
61,69
15,18
53,65
59,65
33,55
1,47
55,59
5,11
21,9
58,69
59,59
17,19
6,19
25,43
51,59
47,70
21,35
20,39
59,41
51,53
10,33
19,3
44,63
15,13
13,6
50,51
67,55
8,1
21,36
67,53
3,20
62,69
25,29
29,26
7,38
5,42
7,54
27,2
19,29
7,23
45,52
23,34
61,62
14,11
52,69
19,23
15,26
61,61
3,21
5,47
63,57
26,13
45,55
33,63
52,49
30,65
19,14
33,70
45,66
7,40
19,30
7,39
35,65
7,34
6,1
39,68
65,67
29,9
57,63
47,52
18,37
43,51
13,25
9,5
15,7
17,10
11,40
19,13
20,15
57,62
61,43
41,55
22,9
47,57
55,60
9,6
60,69
17,12
25,67
21,32
70,53
23,41
23,12
65,51
64,51
58,55
61,56
25,33
13,11
63,63
49,65
1,19
39,65
63,61
27,65
43,63
35,9
58,59
27,13
59,49
27,25
26,1
8,15
28,41
3,16
5,26
64,69
